[376/1000]: loss_d: 1.295, loss_g: 0.862
[377/1000]: loss_d: 1.290, loss_g: 0.866
[378/1000]: loss_d: 1.293, loss_g: 0.865
[380/1000]: loss_d: 1.298, loss_g: 0.856
[381/1000]: loss_d: 1.292, loss_g: 0.871
[382/1000]: loss_d: 1.297, loss_g: 0.857
[383/1000]: loss_d: 1.299, loss_g: 0.849
[384/1000]: loss_d: 1.298, loss_g: 0.852
[385/1000]: loss_d: 1.296, loss_g: 0.853
[386/1000]: loss_d: 1.297, loss_g: 0.851
[387/1000]: loss_d: 1.300, loss_g: 0.851
[388/1000]: loss_d: 1.296, loss_g: 0.857
[389/1000]: loss_d: 1.293, loss_g: 0.868
[390/1000]: loss_d: 1.288, loss_g: 0.877
[391/1000]: loss_d: 1.290, loss_g: 0.861
[392/1000]: loss_d: 1.292, loss_g: 0.861
[393/1000]: loss_d: 1.293, loss_g: 0.857
[394/1000]: loss_d: 1.295, loss_g: 0.863
[395/1000]: loss_d: 1.296, loss_g: 0.847
[396/1000]: loss_d: 1.295, loss_g: 0.869
[397/1000]: loss_d: 1.293, loss_g: 0.860
[398/1000]: loss_d: 1.293, loss_g: 0.856
[399/1000]: loss_d: 1.294, loss_g: 0.858
[400/1000]: loss_d: 1.295, loss_g: 0.857
[401/1000]: loss_d: 1.296, loss_g: 0.858
[402/1000]: loss_d: 1.297, loss_g: 0.850
[403/1000]: loss_d: 1.292, loss_g: 0.869
[404/1000]: loss_d: 1.291, loss_g: 0.865
[405/1000]: loss_d: 1.291, loss_g: 0.858
[406/1000]: loss_d: 1.292, loss_g: 0.852
[407/1000]: loss_d: 1.296, loss_g: 0.860
[408/1000]: loss_d: 1.286, loss_g: 0.869
[409/1000]: loss_d: 1.294, loss_g: 0.866
[410/1000]: loss_d: 1.295, loss_g: 0.863
[411/1000]: loss_d: 1.296, loss_g: 0.857
[412/1000]: loss_d: 1.296, loss_g: 0.848
[413/1000]: loss_d: 1.294, loss_g: 0.862
[414/1000]: loss_d: 1.289, loss_g: 0.870
[415/1000]: loss_d: 1.291, loss_g: 0.859
[416/1000]: loss_d: 1.295, loss_g: 0.850
[417/1000]: loss_d: 1.298, loss_g: 0.847
[418/1000]: loss_d: 1.295, loss_g: 0.862
[419/1000]: loss_d: 1.288, loss_g: 0.868
[420/1000]: loss_d: 1.292, loss_g: 0.860
[421/1000]: loss_d: 1.296, loss_g: 0.850
[422/1000]: loss_d: 1.292, loss_g: 0.868
[423/1000]: loss_d: 1.293, loss_g: 0.856
[424/1000]: loss_d: 1.294, loss_g: 0.853
[425/1000]: loss_d: 1.293, loss_g: 0.860
[426/1000]: loss_d: 1.288, loss_g: 0.864
[427/1000]: loss_d: 1.292, loss_g: 0.857
[428/1000]: loss_d: 1.292, loss_g: 0.862
[429/1000]: loss_d: 1.291, loss_g: 0.865
[430/1000]: loss_d: 1.296, loss_g: 0.848
[431/1000]: loss_d: 1.290, loss_g: 0.860
[432/1000]: loss_d: 1.291, loss_g: 0.862
[433/1000]: loss_d: 1.291, loss_g: 0.858
[434/1000]: loss_d: 1.288, loss_g: 0.869
[435/1000]: loss_d: 1.288, loss_g: 0.868
[436/1000]: loss_d: 1.291, loss_g: 0.866
[437/1000]: loss_d: 1.288, loss_g: 0.859
[438/1000]: loss_d: 1.289, loss_g: 0.872
[439/1000]: loss_d: 1.290, loss_g: 0.857
[440/1000]: loss_d: 1.289, loss_g: 0.859
[441/1000]: loss_d: 1.290, loss_g: 0.864
[442/1000]: loss_d: 1.290, loss_g: 0.861
[443/1000]: loss_d: 1.288, loss_g: 0.867
[444/1000]: loss_d: 1.290, loss_g: 0.865
[445/1000]: loss_d: 1.291, loss_g: 0.863
[446/1000]: loss_d: 1.286, loss_g: 0.872
[447/1000]: loss_d: 1.286, loss_g: 0.864
[448/1000]: loss_d: 1.287, loss_g: 0.861
[449/1000]: loss_d: 1.294, loss_g: 0.857
[450/1000]: loss_d: 1.291, loss_g: 0.860
[451/1000]: loss_d: 1.289, loss_g: 0.875
[452/1000]: loss_d: 1.287, loss_g: 0.868
[453/1000]: loss_d: 1.291, loss_g: 0.862
[454/1000]: loss_d: 1.289, loss_g: 0.857
[455/1000]: loss_d: 1.286, loss_g: 0.872
[456/1000]: loss_d: 1.290, loss_g: 0.861
[457/1000]: loss_d: 1.293, loss_g: 0.865
[458/1000]: loss_d: 1.282, loss_g: 0.873
[459/1000]: loss_d: 1.284, loss_g: 0.870
[460/1000]: loss_d: 1.284, loss_g: 0.870
[461/1000]: loss_d: 1.285, loss_g: 0.869
[462/1000]: loss_d: 1.286, loss_g: 0.866
[463/1000]: loss_d: 1.288, loss_g: 0.862
[464/1000]: loss_d: 1.290, loss_g: 0.859
[465/1000]: loss_d: 1.287, loss_g: 0.870
[466/1000]: loss_d: 1.283, loss_g: 0.882
[467/1000]: loss_d: 1.287, loss_g: 0.863
[468/1000]: loss_d: 1.281, loss_g: 0.876
[469/1000]: loss_d: 1.283, loss_g: 0.868
[470/1000]: loss_d: 1.286, loss_g: 0.867
[471/1000]: loss_d: 1.287, loss_g: 0.867
